Census year,CLUE small area,ANZSIC indusrty,CLUE industry,Business size,Total establishments,Total jobs
2008,Parkville,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,7,0
2008,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,3,232
2008,Parkville,Information Media and Telecommunications,Information Media and Telecommunications,Small business,3,21
2008,Parkville,Manufacturing,Manufacturing,Large business,1,
2008,Parkville,Manufacturing,Manufacturing,Small business,2,
2008,Parkville,Other Services,Other Services,Small business,19,133
2008,Parkville,"Professional, Scientific and Technical Services",Business Services,Medium business,7,621
2008,Parkville,"Professional, Scientific and Technical Services",Business Services,Non employing,1,
2008,Parkville,Public Administration and Safety,Public Administration and Safety,Large business,1,
2008,Parkville,Public Administration and Safety,Public Administration and Safety,Small business,2,
2008,Parkville,Retail Trade,Retail Trade,Small business,23,93
2008,Port Melbourne,Administrative and Support Services,Admin and Support Services,Non employing,1,
2008,Port Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Small business,1,
2008,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,3,99
2008,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,14,97
2008,Port Melbourne,Manufacturing,Manufacturing,Large business,7,5966
2008,Port Melbourne,Manufacturing,Manufacturing,Non employing,1,
2008,Port Melbourne,Mining,Agriculture and Mining,Small business,2,
2008,Port Melbourne,Other Services,Other Services,Small business,6,44
2008,Port Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,43,351
2008,Port Melbourne,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,1,
2008,Port Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,15,809
2008,Port Melbourne,Wholesale Trade,Wholesale Trade,Medium business,16,797
2008,Port Melbourne,Wholesale Trade,Wholesale Trade,Small business,40,329
2008,South Yarra,Accommodation and Food Services,Food and Beverage Services,Medium business,1,
2008,South Yarra,Accommodation and Food Services,Food and Beverage Services,Small business,7,95
2008,South Yarra,Administrative and Support Services,Admin and Support Services,Non employing,1,
2008,South Yarra,Other Services,Other Services,Small business,10,40
2008,South Yarra,Public Administration and Safety,Public Administration and Safety,Medium business,1,
2008,Southbank,Accommodation and Food Services,Accommodation,Large business,2,
2008,Southbank,Accommodation and Food Services,Food and Beverage Services,Small business,76,705
2008,Southbank,Administrative and Support Services,Admin and Support Services,Small business,15,132
2008,Southbank,Education and Training,Education and Training,Medium business,8,421
2008,Southbank,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,19,0
2008,Southbank,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Small business,1,
2008,Southbank,Health Care and Social Assistance,Health Care and Social Assistance,Large business,1,
2008,Southbank,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,2,
2008,Southbank,Information Media and Telecommunications,Information Media and Telecommunications,Small business,8,85
2008,Southbank,Mining,Agriculture and Mining,Large business,1,
2008,Southbank,"Professional, Scientific and Technical Services",Business Services,Large business,3,1516
2008,Southbank,Public Administration and Safety,Public Administration and Safety,Medium business,9,498
2008,Southbank,Public Administration and Safety,Public Administration and Safety,Small business,1,
2008,Southbank,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,2,
2008,Southbank,Wholesale Trade,Wholesale Trade,Small business,11,68
2008,West Melbourne (Industrial),Administrative and Support Services,Admin and Support Services,Small business,2,
2008,West Melbourne (Industrial),"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,1,
2008,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,4,123
2008,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,8,0
2008,West Melbourne (Industrial),Financial and Insurance Services,Finance and Insurance,Small business,1,
2008,West Melbourne (Industrial),Manufacturing,Manufacturing,Medium business,6,214
2008,West Melbourne (Industrial),Manufacturing,Manufacturing,Non employing,1,
2008,West Melbourne (Industrial),Manufacturing,Manufacturing,Small business,5,36
2008,West Melbourne (Industrial),Retail Trade,Retail Trade,Small business,7,48
2008,West Melbourne (Industrial),"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,19,0
2008,West Melbourne (Industrial),Wholesale Trade,Wholesale Trade,Medium business,27,960
2008,West Melbourne (Residential),Accommodation and Food Services,Accommodation,Non employing,1,
2008,West Melbourne (Residential),Administrative and Support Services,Admin and Support Services,Medium business,2,
2008,West Melbourne (Residential),Arts and Recreation Services,Arts and Recreation Services,Non employing,8,0
2008,West Melbourne (Residential),Arts and Recreation Services,Arts and Recreation Services,Small business,9,43
2008,West Melbourne (Residential),Construction,Construction,Small business,10,74
2008,West Melbourne (Residential),Financial and Insurance Services,Finance and Insurance,Large business,2,
2008,West Melbourne (Residential),Financial and Insurance Services,Finance and Insurance,Medium business,1,
2008,West Melbourne (Residential),Health Care and Social Assistance,Health Care and Social Assistance,Medium business,3,129
2008,West Melbourne (Residential),"Professional, Scientific and Technical Services",Business Services,Medium business,14,876
2008,West Melbourne (Residential),Public Administration and Safety,Public Administration and Safety,Medium business,2,
2008,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Medium business,1,
2008,West Melbourne (Residential),"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,1,
2008,West Melbourne (Residential),"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,1,
2008,West Melbourne (Residential),Wholesale Trade,Wholesale Trade,Small business,42,218
2007,Carlton,Accommodation and Food Services,Food and Beverage Services,Medium business,16,520
2007,Carlton,Accommodation and Food Services,Food and Beverage Services,Non employing,2,
2007,Carlton,Accommodation and Food Services,Food and Beverage Services,Small business,184,1390
2007,Carlton,Education and Training,Education and Training,Small business,51,357
2007,Carlton,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,15,0
2007,Carlton,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,7,248
2007,Carlton,Information Media and Telecommunications,Information Media and Telecommunications,Non employing,1,
2007,Carlton,Manufacturing,Manufacturing,Small business,31,174
2007,Carlton,Other Services,Other Services,Large business,2,
2007,Carlton,Other Services,Other Services,Medium business,21,1217
2007,Carlton,Other Services,Other Services,Small business,120,542
2007,Carlton,"Professional, Scientific and Technical Services",Business Services,Small business,131,786
2007,Carlton,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,14,72
2007,Carlton,Retail Trade,Retail Trade,Non employing,5,0
2007,Carlton,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,6,34
2007,Carlton,Wholesale Trade,Wholesale Trade,Large business,1,
2007,Carlton,Wholesale Trade,Wholesale Trade,Small business,23,107
2007,Docklands,Accommodation and Food Services,Food and Beverage Services,Large business,1,
2007,Docklands,Accommodation and Food Services,Food and Beverage Services,Medium business,11,501
2007,Docklands,Arts and Recreation Services,Arts and Recreation Services,Medium business,3,210
2007,Docklands,Construction,Construction,Medium business,5,245
2007,Docklands,Education and Training,Education and Training,Medium business,2,
2007,Docklands,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,8,0
2007,Docklands,Information Media and Telecommunications,Information Media and Telecommunications,Small business,3,10
2007,Docklands,Manufacturing,Manufacturing,Large business,1,
2007,Docklands,Other Services,Other Services,Small business,23,61
2007,Docklands,"Professional, Scientific and Technical Services",Business Services,Medium business,3,255
2007,Docklands,Public Administration and Safety,Public Administration and Safety,Large business,3,3245
2007,Docklands,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,3,123
2007,Docklands,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,3,22
2007,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,2,
2007,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,9,396
2007,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,5,0
2007,East Melbourne,Accommodation and Food Services,Accommodation,Small business,17,107
2007,East Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,37,246
2007,East Melbourne,Arts and Recreation Services,Arts and Recreation Services,Non employing,16,0
2007,East Melbourne,Education and Training,Education and Training,Medium business,7,414
2007,East Melbourne,Financial and Insurance Services,Finance and Insurance,Medium business,10,602
2007,East Melbourne,Financial and Insurance Services,Finance and Insurance,Small business,7,65
2007,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,1,
2007,East Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,5,37
2007,East Melbourne,Other Services,Other Services,Medium business,11,822
2007,East Melbourne,Other Services,Other Services,Non employing,5,0
2007,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Medium business,15,833
2007,East Melbourne,Public Administration and Safety,Public Administration and Safety,Medium business,8,630
2007,East Melbourne,Public Administration and Safety,Public Administration and Safety,Small business,5,46
2007,East Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,2,
2007,East Melbourne,Wholesale Trade,Wholesale Trade,Medium business,2,
2007,Kensington,Accommodation and Food Services,Food and Beverage Services,Medium business,1,
2007,Kensington,Administrative and Support Services,Admin and Support Services,Small business,2,
2007,Kensington,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,5,0
2007,Kensington,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,1,
2007,Kensington,Health Care and Social Assistance,Health Care and Social Assistance,Small business,9,48
2007,Kensington,"Professional, Scientific and Technical Services",Business Services,Small business,8,53
2007,Kensington,Public Administration and Safety,Public Administration and Safety,Small business,1,
2007,Kensington,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,1,
2007,Kensington,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,2,
2007,Kensington,Wholesale Trade,Wholesale Trade,Small business,14,109
2007,Melbourne (CBD),Accommodation and Food Services,Accommodation,Medium business,44,3071
2007,Melbourne (CBD),Accommodation and Food Services,Accommodation,Small business,57,546
2007,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Large business,3,2085
2007,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Medium business,84,3882
2007,Melbourne (CBD),"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,6,33
2007,Melbourne (CBD),Arts and Recreation Services,Arts and Recreation Services,Non employing,14,0
2007,Melbourne (CBD),Arts and Recreation Services,Arts and Recreation Services,Small business,98,476
2007,Melbourne (CBD),Construction,Construction,Medium business,10,518
2007,Melbourne (CBD),Education and Training,Education and Training,Large business,9,5241
2007,Melbourne (CBD),Education and Training,Education and Training,Medium business,68,3828
2007,Melbourne (CBD),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,8,647
2007,Melbourne (CBD),Financial and Insurance Services,Finance and Insurance,Large business,40,29848
2007,Melbourne (CBD),Financial and Insurance Services,Finance and Insurance,Medium business,142,7649
2007,Melbourne (CBD),Financial and Insurance Services,Finance and Insurance,Small business,495,3391
2007,Melbourne (CBD),Health Care and Social Assistance,Health Care and Social Assistance,Medium business,25,890
2007,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Small business,143,959
2007,Melbourne (CBD),Manufacturing,Manufacturing,Large business,1,
2007,Melbourne (CBD),Other Services,Other Services,Large business,2,
2007,Melbourne (CBD),Other Services,Other Services,Small business,563,2284
2007,Melbourne (CBD),Public Administration and Safety,Public Administration and Safety,Large business,28,17420
2007,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,27,1208
2007,Melbourne (CBD),Retail Trade,Retail Trade,Large business,9,4296
2007,Melbourne (CBD),"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,69,496
2007,Melbourne (CBD),Wholesale Trade,Wholesale Trade,Non employing,1,
2007,Melbourne (Remainder),Accommodation and Food Services,Accommodation,Small business,1,
2007,Melbourne (Remainder),Administrative and Support Services,Admin and Support Services,Medium business,1,
2007,Melbourne (Remainder),Administrative and Support Services,Admin and Support Services,Small business,22,153
2007,Melbourne (Remainder),Arts and Recreation Services,Arts and Recreation Services,Large business,4,3634
2007,Melbourne (Remainder),Education and Training,Education and Training,Large business,2,
2007,Melbourne (Remainder),Education and Training,Education and Training,Small business,3,25
2007,Melbourne (Remainder),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,3,0
2007,Melbourne (Remainder),Financial and Insurance Services,Finance and Insurance,Large business,3,1584
2007,Melbourne (Remainder),Financial and Insurance Services,Finance and Insurance,Medium business,10,473
2007,Melbourne (Remainder),Health Care and Social Assistance,Health Care and Social Assistance,Non employing,1,
2007,Melbourne (Remainder),Manufacturing,Manufacturing,Medium business,1,
2007,Melbourne (Remainder),Mining,Agriculture and Mining,Medium business,1,
2007,Melbourne (Remainder),"Professional, Scientific and Technical Services",Business Services,Medium business,28,1515
2007,Melbourne (Remainder),Wholesale Trade,Wholesale Trade,Small business,8,69
2007,North Melbourne,Accommodation and Food Services,Food and Beverage Services,Non employing,2,
2007,North Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,84,481
2007,North Melbourne,Administrative and Support Services,Admin and Support Services,Medium business,5,228
2007,North Melbourne,Arts and Recreation Services,Arts and Recreation Services,Medium business,4,225
2007,North Melbourne,Construction,Construction,Medium business,5,227
2007,North Melbourne,Education and Training,Education and Training,Medium business,6,236
2007,North Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,1,
2007,North Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Small business,63,344
2007,North Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,40,227
2007,North Melbourne,Manufacturing,Manufacturing,Medium business,8,369
2007,North Melbourne,Mining,Agriculture and Mining,Small business,1,
2007,North Melbourne,"Professional, Scientific and Technical Services",Business Services,Non employing,2,
2007,North Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,132,645
2007,North Melbourne,Public Administration and Safety,Public Administration and Safety,Small business,9,58
2007,North Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,15,70
2007,North Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,6,169
2007,North Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,4,0
2007,North Melbourne,Wholesale Trade,Wholesale Trade,Non employing,2,
2007,North Melbourne,Wholesale Trade,Wholesale Trade,Small business,73,456
2007,Parkville,Accommodation and Food Services,Food and Beverage Services,Medium business,5,295
2007,Parkville,Accommodation and Food Services,Accommodation,Non employing,1,
2007,Parkville,Arts and Recreation Services,Arts and Recreation Services,Large business,1,
2007,Parkville,Arts and Recreation Services,Arts and Recreation Services,Non employing,22,0
2007,Parkville,Education and Training,Education and Training,Small business,8,90
2007,Parkville,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,7,0
2007,Parkville,Financial and Insurance Services,Finance and Insurance,Small business,10,83
2007,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,3,232
2007,Parkville,Other Services,Other Services,Medium business,1,
2007,Parkville,Other Services,Other Services,Non employing,5,0
2007,Parkville,"Professional, Scientific and Technical Services",Business Services,Small business,6,63
2007,Parkville,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,5,20
2007,Port Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,6,26
2007,Port Melbourne,Arts and Recreation Services,Arts and Recreation Services,Medium business,1,
2007,Port Melbourne,Arts and Recreation Services,Arts and Recreation Services,Non employing,5,0
2007,Port Melbourne,Construction,Construction,Small business,13,88
2007,Port Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Small business,2,
2007,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Non employing,1,
2007,Port Melbourne,Manufacturing,Manufacturing,Small business,38,305
2007,Port Melbourne,Mining,Agriculture and Mining,Small business,2,
2007,Port Melbourne,"Professional, Scientific and Technical Services",Business Services,Medium business,12,595
2007,Port Melbourne,Public Administration and Safety,Public Administration and Safety,Large business,1,
2007,Port Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Medium business,1,
2007,Port Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,2,
2007,Port Melbourne,Retail Trade,Retail Trade,Small business,19,172
2007,Port Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,2,
2007,Port Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,19,170
2007,South Yarra,Accommodation and Food Services,Food and Beverage Services,Medium business,4,94
2007,South Yarra,Administrative and Support Services,Admin and Support Services,Non employing,1,
2007,South Yarra,Education and Training,Education and Training,Small business,5,48
2007,South Yarra,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,5,0
2007,South Yarra,Information Media and Telecommunications,Information Media and Telecommunications,Non employing,1,
2007,South Yarra,Other Services,Other Services,Small business,9,41
2007,Southbank,Accommodation and Food Services,Food and Beverage Services,Small business,71,689
2007,Southbank,Administrative and Support Services,Admin and Support Services,Large business,3,1557
2007,Southbank,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Large business,1,
2007,Southbank,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Small business,1,
2007,Southbank,Health Care and Social Assistance,Health Care and Social Assistance,Large business,1,
2007,Southbank,Information Media and Telecommunications,Information Media and Telecommunications,Large business,5,2126
2007,Southbank,Mining,Agriculture and Mining,Medium business,1,
2007,Southbank,Mining,Agriculture and Mining,Small business,3,22
2007,Southbank,"Professional, Scientific and Technical Services",Business Services,Small business,59,506
2007,Southbank,Public Administration and Safety,Public Administration and Safety,Medium business,7,338
2007,Southbank,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,5,115
2007,Southbank,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,15,109
2007,Southbank,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,6,34
2007,Southbank,Retail Trade,Retail Trade,Medium business,5,315
2007,Southbank,Retail Trade,Retail Trade,Small business,95,574
2007,Southbank,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,4,243
2007,Southbank,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,1,
2007,West Melbourne (Industrial),Accommodation and Food Services,Food and Beverage Services,Small business,7,31
2007,West Melbourne (Industrial),Construction,Construction,Small business,3,21
2007,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,4,123
2007,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,8,0
2007,West Melbourne (Industrial),Financial and Insurance Services,Finance and Insurance,Small business,1,
2007,West Melbourne (Industrial),Information Media and Telecommunications,Information Media and Telecommunications,Medium business,1,
2007,West Melbourne (Industrial),Other Services,Other Services,Medium business,1,
2007,West Melbourne (Industrial),Other Services,Other Services,Small business,4,27
2007,West Melbourne (Industrial),Public Administration and Safety,Public Administration and Safety,Small business,4,36
2007,West Melbourne (Industrial),"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,3,2179
2007,West Melbourne (Industrial),Wholesale Trade,Wholesale Trade,Small business,216,1257
2007,West Melbourne (Residential),Accommodation and Food Services,Accommodation,Non employing,1,
2007,West Melbourne (Residential),Accommodation and Food Services,Food and Beverage Services,Small business,45,220
2007,West Melbourne (Residential),Administrative and Support Services,Admin and Support Services,Large business,1,
2007,West Melbourne (Residential),Arts and Recreation Services,Arts and Recreation Services,Small business,9,43
2007,West Melbourne (Residential),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,9,0
2007,West Melbourne (Residential),Financial and Insurance Services,Finance and Insurance,Large business,2,
2007,West Melbourne (Residential),"Professional, Scientific and Technical Services",Business Services,Large business,2,
2007,West Melbourne (Residential),"Professional, Scientific and Technical Services",Business Services,Medium business,14,876
2007,West Melbourne (Residential),Public Administration and Safety,Public Administration and Safety,Medium business,2,
2007,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,1,
2007,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Medium business,1,
2007,West Melbourne (Residential),Retail Trade,Retail Trade,Small business,48,177
2009,Melbourne (Remainder),Mining,Agriculture and Mining,Small business,1,
2009,Melbourne (Remainder),"Professional, Scientific and Technical Services",Business Services,Large business,4,1994
2009,Melbourne (Remainder),"Professional, Scientific and Technical Services",Business Services,Non employing,1,
2009,Melbourne (Remainder),"Professional, Scientific and Technical Services",Business Services,Small business,60,478
2009,North Melbourne,Accommodation and Food Services,Food and Beverage Services,Medium business,3,75
2009,North Melbourne,Accommodation and Food Services,Accommodation,Medium business,4,93
2009,North Melbourne,Accommodation and Food Services,Food and Beverage Services,Non employing,3,0
2009,North Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,92,542
2009,North Melbourne,Administrative and Support Services,Admin and Support Services,Medium business,6,224
2009,North Melbourne,Construction,Construction,Small business,32,205
2009,North Melbourne,Education and Training,Education and Training,Small business,18,156
2009,North Melbourne,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,1,
2009,North Melbourne,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,22,0
2009,North Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,5,347
2009,North Melbourne,Manufacturing,Manufacturing,Medium business,8,465
2009,North Melbourne,Manufacturing,Manufacturing,Small business,53,323
2009,North Melbourne,Other Services,Other Services,Small business,128,573
2009,North Melbourne,"Professional, Scientific and Technical Services",Business Services,Non employing,2,
2009,North Melbourne,Public Administration and Safety,Public Administration and Safety,Medium business,4,231
2009,North Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,13,63
2009,North Melbourne,Retail Trade,Retail Trade,Medium business,4,209
2009,North Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,6,163
2009,Parkville,Accommodation and Food Services,Food and Beverage Services,Medium business,5,295
2009,Parkville,Administrative and Support Services,Admin and Support Services,Small business,2,
2009,Parkville,Arts and Recreation Services,Arts and Recreation Services,Small business,4,28
2009,Parkville,Education and Training,Education and Training,Medium business,5,331
2009,Parkville,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,7,0
2009,Parkville,Financial and Insurance Services,Finance and Insurance,Small business,10,83
2009,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Small business,57,264
2009,Parkville,Manufacturing,Manufacturing,Large business,1,
2009,Parkville,Other Services,Other Services,Small business,19,133
2009,Parkville,"Professional, Scientific and Technical Services",Business Services,Large business,1,
2009,Parkville,"Professional, Scientific and Technical Services",Business Services,Non employing,1,
2009,Parkville,Public Administration and Safety,Public Administration and Safety,Small business,2,
2009,Parkville,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,5,20
2009,Port Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,6,29
2009,Port Melbourne,Administrative and Support Services,Admin and Support Services,Medium business,2,
2009,Port Melbourne,Financial and Insurance Services,Finance and Insurance,Small business,9,35
2009,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Large business,1,
2009,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,14,97
2009,Port Melbourne,Manufacturing,Manufacturing,Non employing,1,
2009,Port Melbourne,Manufacturing,Manufacturing,Small business,34,249
2009,Port Melbourne,Other Services,Other Services,Small business,6,44
2009,Port Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,43,351
2009,Port Melbourne,Public Administration and Safety,Public Administration and Safety,Small business,3,24
2009,Port Melbourne,Wholesale Trade,Wholesale Trade,Small business,40,329
2009,South Yarra,Accommodation and Food Services,Food and Beverage Services,Medium business,1,
2009,South Yarra,Accommodation and Food Services,Accommodation,Small business,8,61
2009,South Yarra,Administrative and Support Services,Admin and Support Services,Non employing,1,
2009,South Yarra,Arts and Recreation Services,Arts and Recreation Services,Non employing,5,0
2009,South Yarra,Education and Training,Education and Training,Non employing,3,0
2009,South Yarra,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,5,0
2009,South Yarra,Health Care and Social Assistance,Health Care and Social Assistance,Small business,3,21
2009,South Yarra,Information Media and Telecommunications,Information Media and Telecommunications,Non employing,1,
2009,South Yarra,Other Services,Other Services,Small business,10,40
2009,South Yarra,Public Administration and Safety,Public Administration and Safety,Medium business,1,
2009,Southbank,Accommodation and Food Services,Accommodation,Large business,2,
2009,Southbank,Administrative and Support Services,Admin and Support Services,Medium business,9,267
2009,Southbank,"Agriculture, Forestry and Fishing",Agriculture and Mining,Medium business,2,
2009,Southbank,"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,1,
2009,Southbank,Arts and Recreation Services,Arts and Recreation Services,Non employing,9,0
2009,Southbank,Education and Training,Education and Training,Medium business,8,421
2009,Southbank,Education and Training,Education and Training,Small business,5,60
2009,Southbank,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,1,
2009,Southbank,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Small business,1,
2009,Southbank,Financial and Insurance Services,Finance and Insurance,Medium business,8,645
2009,Southbank,Information Media and Telecommunications,Information Media and Telecommunications,Small business,8,85
2009,Southbank,Manufacturing,Manufacturing,Medium business,8,500
2009,Southbank,Manufacturing,Manufacturing,Small business,9,38
2009,Southbank,Other Services,Other Services,Medium business,3,82
2009,Southbank,Other Services,Other Services,Small business,41,209
2009,Southbank,"Professional, Scientific and Technical Services",Business Services,Large business,3,1516
2009,Southbank,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,6,194
2009,Southbank,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Medium business,1,
2009,Southbank,Retail Trade,Retail Trade,Medium business,5,388
2009,Southbank,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,4,215
2009,Southbank,Wholesale Trade,Wholesale Trade,Medium business,3,122
2009,Southbank,Wholesale Trade,Wholesale Trade,Small business,11,68
2009,West Melbourne (Industrial),Accommodation and Food Services,Food and Beverage Services,Medium business,1,
2009,West Melbourne (Industrial),"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,1,
2009,West Melbourne (Industrial),Construction,Construction,Small business,2,
2009,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,2,
2009,West Melbourne (Industrial),Financial and Insurance Services,Finance and Insurance,Medium business,1,
2009,West Melbourne (Industrial),Manufacturing,Manufacturing,Medium business,4,85
2009,West Melbourne (Industrial),Other Services,Other Services,Small business,5,44
2009,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Business Services,Small business,3,24
2009,West Melbourne (Industrial),"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,1,
2009,West Melbourne (Industrial),"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,6,51
2009,West Melbourne (Industrial),"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,16,0
2009,West Melbourne (Industrial),Wholesale Trade,Wholesale Trade,Medium business,48,1536
2009,West Melbourne (Residential),Accommodation and Food Services,Food and Beverage Services,Non employing,1,
2009,West Melbourne (Residential),Accommodation and Food Services,Food and Beverage Services,Small business,52,257
2009,West Melbourne (Residential),Arts and Recreation Services,Arts and Recreation Services,Non employing,8,0
2009,West Melbourne (Residential),Construction,Construction,Medium business,3,122
2009,West Melbourne (Residential),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Small business,1,
2009,West Melbourne (Residential),Health Care and Social Assistance,Health Care and Social Assistance,Medium business,4,175
